amount,category,type,hour,location_distance,previous_transactions,is_fraud
63960.71,Food,INCOME,7,223.21,3,1
89223.35,Food,INCOME,1,29.8,6,1
60221.77,Entertainment,EXPENSE,22,649.88,17,1
44948.44,Shopping,EXPENSE,5,698.14,10,1
21570.61,Other,INCOME,3,92.75,3,1
34428.37,Shopping,EXPENSE,23,459.42,3,1
37884.51,Entertainment,INCOME,20,618.52,11,0
70471.96,Food,EXPENSE,9,985.22,7,1
38043.62,Bills,INCOME,5,370.18,6,0
70196.94,Salary,EXPENSE,19,634.98,17,1
16382.08,Bills,INCOME,20,688.16,7,0
84293.05,Other,EXPENSE,7,821.8,10,1
6665.55,Entertainment,INCOME,6,655.44,12,0
64303.04,Travel,INCOME,4,246.63,17,1
74714.03,Bills,INCOME,11,219.32,4,1
9136.4,Food,EXPENSE,4,627.45,13,1
38507.49,Entertainment,INCOME,16,251.41,17,0
1197.53,Salary,EXPENSE,21,884.79,8,1
34050.54,Shopping,INCOME,5,453.72,8,1
76208.12,Entertainment,EXPENSE,20,298.44,20,1
19931.16,Shopping,EXPENSE,17,953.5,16,1
59914.51,Bills,EXPENSE,3,929.1,9,1
24125.12,Entertainment,EXPENSE,2,731.91,2,1
53293.98,Travel,EXPENSE,21,475.28,17,1
52791.0,Entertainment,INCOME,6,928.91,6,1
39929.28,Salary,INCOME,14,899.61,14,1
22508.5,Shopping,EXPENSE,18,553.92,18,0
7145.76,Salary,EXPENSE,7,67.4,1,0
7132.19,Travel,INCOME,21,485.41,17,0
93554.65,Entertainment,INCOME,7,784.62,13,1
9738.23,Bills,INCOME,13,411.1,1,0
98417.31,Food,EXPENSE,12,728.21,3,1
19061.38,Bills,EXPENSE,13,183.49,14,0
92330.4,Bills,EXPENSE,1,652.14,17,1
96901.18,Other,EXPENSE,5,406.41,15,1
40133.98,Food,EXPENSE,12,2.16,12,0
78417.86,Bills,INCOME,13,696.59,17,1
48692.81,Travel,INCOME,6,968.71,18,1
6142.71,Shopping,EXPENSE,1,584.18,16,1
53136.06,Food,EXPENSE,5,68.52,2,1
23558.63,Food,EXPENSE,18,594.52,19,0
65754.45,Entertainment,INCOME,8,204.26,10,1
39608.8,Salary,INCOME,14,316.18,2,1
62134.87,Entertainment,EXPENSE,2,537.63,16,1
93329.27,Food,EXPENSE,11,284.99,14,1
70368.82,Entertainment,EXPENSE,21,817.1,9,1
10403.47,Travel,INCOME,3,889.71,17,1
28211.54,Travel,INCOME,6,687.5,8,0
25149.57,Other,EXPENSE,2,634.28,8,1
33388.98,Travel,INCOME,5,741.23,17,1
56112.64,Food,EXPENSE,22,903.93,17,1
36953.14,Entertainment,EXPENSE,13,127.45,9,0
93312.15,Other,EXPENSE,11,210.08,7,1
35400.18,Entertainment,INCOME,19,749.48,7,1
97621.79,Other,EXPENSE,13,24.79,10,1
41200.73,Salary,EXPENSE,8,159.2,3,0
3920.52,Bills,EXPENSE,6,816.59,14,1
82062.61,Other,EXPENSE,7,23.66,6,1
27896.38,Food,INCOME,11,641.48,12,0
84373.93,Shopping,EXPENSE,3,877.04,8,1
96255.3,Shopping,EXPENSE,3,596.57,11,1
31402.05,Entertainment,EXPENSE,12,899.5,6,1
70893.09,Food,EXPENSE,11,431.3,10,1
66355.58,Food,INCOME,16,309.28,13,1
69735.98,Entertainment,EXPENSE,6,420.45,12,1
90285.41,Entertainment,INCOME,12,547.94,0,1
21057.76,Other,INCOME,14,441.79,6,0
79383.85,Other,EXPENSE,21,84.8,16,1
61945.12,Food,EXPENSE,21,310.42,6,1
4669.06,Bills,EXPENSE,14,414.44,20,0
71848.67,Bills,INCOME,12,243.98,20,1
89271.35,Other,EXPENSE,13,218.84,16,1
55762.71,Other,EXPENSE,14,133.34,14,1
98789.85,Entertainment,INCOME,14,612.65,16,1
90690.13,Bills,EXPENSE,23,861.49,14,1
24761.61,Salary,INCOME,16,484.6,7,0
7794.46,Shopping,EXPENSE,8,335.85,17,0
15125.52,Bills,EXPENSE,22,213.95,13,0
54283.98,Bills,EXPENSE,6,832.89,12,1
58428.74,Salary,EXPENSE,18,380.38,0,1
29896.33,Bills,INCOME,17,747.52,17,1
